index,episode_reward,episode_power,episode_load
380,19.29329185910283,7.699448119887634,1.5326803077835514
390,19.405438134101225,7.728711783993825,1.5113335092420792
400,19.493294338789255,7.765258817768363,1.5212150913013565
410,19.318337174270763,7.712657001361866,1.5409471837953614
420,19.26176872752184,7.683761404880502,1.5241083846419428
430,19.26819662098282,7.696474321998686,1.5444387754657058
440,19.068218114311463,7.6185904346251645,1.532306762609251
450,19.168070924739357,7.650617585436583,1.5249628242382776
460,19.5317002627729,7.7734219229323545,1.510274509286224
470,19.41946552785632,7.740889246180673,1.5252984394472002
480,19.564711117679472,7.779130476586799,1.4983164297079627
490,19.177626701410812,7.65414724949301,1.5251676556784657
500,19.287599330473107,7.695818063991753,1.5295751249027174
510,19.333895765449476,7.710974063665998,1.5267691822830178
520,19.457390717995295,7.739397372312392,1.4958369902009327
530,19.556086081343523,7.775953445216753,1.498148815748505
540,19.281826523753782,7.692374452072296,1.5268902850760555
550,19.54407626753198,7.782845819205427,1.5200173533632115
560,19.52012122506652,7.766255313277623,1.5043825511987925
570,19.25264486507752,7.681473568814715,1.5260266585369773
580,19.4241073610244,7.733744494970426,1.5080945640220318
590,19.435862170585814,7.747382225092435,1.5265023889735905
600,19.308371940531377,7.705577322676122,1.5340953499798389
610,19.356136923180102,7.722155611152483,1.533039331806118
620,19.234323057985662,7.6846143503037965,1.5449862623471395
630,19.300964914706938,7.69591676732627,1.5204119958892646
640,19.25837957013785,7.689260291970487,1.537220808658362
650,19.312148608651363,7.710322879602829,1.540720348168322
660,19.0906119095283,7.625897125485091,1.5309019865432565
670,19.149297420073488,7.660721364736753,1.5578382214500315
680,19.324243305724792,7.708411309815884,1.5285205254767917
690,19.35469931407643,7.718052119880693,1.5260310267884798
700,19.26488783692296,7.68486933857948,1.5240889410669751
710,19.242522074025793,7.684094601770094,1.5382318172641587
720,19.223651943105637,7.683438889083588,1.550160220067436
730,19.18847210858895,7.657447143724205,1.524020976574075
740,19.221566545696813,7.679125053578657,1.5431945382830443
750,19.274985603100088,7.689284461909639,1.5256437924972037
760,19.220929570629966,7.677256277326974,1.539990467213266
770,19.357871946974633,7.7227669052351615,1.5330187489051812
780,19.08597350032692,7.635016287316428,1.5519597359360584
790,19.172374573841466,7.661161258921484,1.5425433821419987
800,19.287948963327878,7.692721800210757,1.5232829917071216
810,19.249245267798518,7.688155134061246,1.5414563087544066
820,19.30190796540597,7.702215637085578,1.5320543403985938
830,19.111422758072536,7.6294229207149495,1.523220711370611
840,19.083312721462836,7.638133486214828,1.5599105602393533
850,19.331947533712075,7.697336274547484,1.5014966376271046
860,19.204032540339927,7.677535811448097,1.5523643534966172
870,19.326330779809584,7.721517177181113,1.5526566908151538
880,19.34526689210203,7.70731039646815,1.511653793630439
890,19.39286990669952,7.731147002525466,1.524887554617888
900,19.172085237731967,7.658540846492312,1.5376279243929223
910,19.3536495482667,7.710422144551471,1.5118635672904017
920,19.215432964968716,7.662998807938673,1.5159914712771205
930,18.937366812635315,7.582295255916572,1.553013652867331
940,18.981907615349257,7.59787165925853,1.5522577537448339
950,19.05660683941304,7.623575980281584,1.550172048898337
960,19.23321293571623,7.679804948049457,1.5363699841577327
970,18.78808206756398,7.5339667470679625,1.5631213555723302
980,19.481070555337773,7.758826779880229,1.5172091657171305
990,19.333474423032307,7.709191883821151,1.5235833019655691
1000,18.98868715238532,7.596870155656838,1.5455560160975381
1010,19.409062542227787,7.725153861147784,1.501847355494817
1020,19.19509175971835,7.6626709740750245,1.5295900144374364
1030,19.361829882497965,7.72634864389194,1.5372437773528709
1040,19.303281801206353,7.699347589264856,1.5254909994384738
1050,19.237392503364713,7.6795975117452855,1.5330391377722092
1060,19.256233672698635,7.687996528319398,1.536254648484782
1070,19.121268890023813,7.649244336032053,1.5550421207959342
1080,19.61572366898388,7.800344192403874,1.5040406825000998
1090,19.57403881304003,7.791532927098577,1.516010579111391
1100,19.19494605789542,7.671553990234349,1.5470416466496721
